Organization Name,Organization Name URL,Industries,Description,Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Headquarters Location,Full Description
Color,https://www.crunchbase.com/organization/color-genomics,"Apps, Biotechnology, Genetics, Health Care, Product Design, Software Engineering",Color is a population health technology company that enables the delivery of advanced healthcare through clinical genetics.,101-250,215000000,USD,215000000,2020-01-14,"Burlingame, California, United States","Color is a population health technology company that enables the delivery of advanced healthcare through clinical genetics. The company makes precision health programs accessible, convenient, and cost effective for everyone, serving health systems, employers, research institutions, and individual consumers. Color’s Population Genomics Platform offers modular and end-to-end solutions that enable organizations to effectively build and scale population health programs. Color provides technology, software, and clinical services to help population programs launch and scale quickly. Color’s partners include NorthShore University Health System, the National Institutes of Health (NIH), Ochsner Health System, Verily, Visa, Levi Strauss and Salesforce. By combining innovative technology, specialized laboratory infrastructure, and clinical health services, Color creates complete and effective programs that include: Program strategy, planning, and implementation; Participant outreach and engagement; Participant education and consent about testing and results; Sample (blood or saliva) collection and genetic sequencing; Data management and clinical reporting; HIPAA compliance and data security; Return of results; Clinical services, like genetic counseling and clinical pharmacy; Personalized care routing; and ongoing population health management. Color launched its first product in 2015 and is based in Burlingame, California."
Kustomer,https://www.crunchbase.com/organization/kustomer,"CRM, Customer Service, Enterprise, SaaS, Small and Medium Businesses",Kustomer is an omnichannel Software-as-a-Service (SaaS) CRM platform specializing in customer service.,101-250,173500000,USD,173500000,2019-12-04,"New York, New York, United States","Kustomer is the omnichannel SaaS CRM platform reimagining enterprise customer service to deliver standout experiences. It scales to meet the needs of any contact center and business by unifying data from multiple sources, enabling companies to deliver service and support through a single timeline view. Kustomer is the core platform of some of the leading customer service brands like Ring, Glovo, Glossier, Sweetgreen, Away, Rent the Runway, and UNTUCKit. The company was founded in 2015 and is headquartered in New York."
Sweetgreen,https://www.crunchbase.com/organization/sweetgreen,"Food and Beverage, Organic Food, Supply Chain Management","Sweetgreen is a fast casual restaurant chain that serves simple, seasonal, and healthy salads, and grain bowls.",1001-5000,478595000,USD,478595000,2019-09-19,"Washington, District of Columbia, United States","Sweetgreen is an American fast-casual restaurant chain that serves simple, seasonal, healthy salads, and grain bowls made in-house from scratch, using whole produce delivered that morning. Founded in 2007, the company is based in Washington, District of Columbia."
Terminal,https://www.crunchbase.com/organization/terminal-io,"Business Development, Human Resources, Recruiting, Software, Software Engineering",Terminal builds  engineering teams to accelerate companies.,101-250,27000000,USD,27000000,2019-09-26,"San Francisco, California, United States","Terminal builds elite engineering teams to accelerate world-changing companies. We identify emerging tech hubs around the globe and connect the top engineers with the most compelling companies. We provide complete operations and services to give companies all the benefits of a new office without any of the hassles. We are building communities of the top technologists to solve hard problems. We bring the top companies from around the world and help them run operations in new markets while maintaining top-notch benefits and unique access to Silicon Valley and global tech leaders. Our amazing client teams span all types of software development including cutting-edge front-end frameworks, hyper-scale infrastructure, AR/VR/IOT, Data Science, DevOps, and much more. We already have hubs in Waterloo, Montreal, Vancouver, San Francisco, and we are just getting started. We only partner with high-growth technology firms that are backed by the top VCs and are solving compelling challenges with global impact."
Imperfect Foods,https://www.crunchbase.com/organization/imperfect-produce,"Consumer, Delivery Service, E-Commerce, Food and Beverage, Food Delivery, Grocery",Imperfect Foods delivers groceries with a mission to eliminate food waste and build a better food system for everyone.,1001-5000,137061000,USD,137061000,2020-05-20,"San Francisco, California, United States","Imperfect Foods provides grocery delivery service rescuing and redistributing food across multiple grocery categories – including produce, shelf-stable goods, dairy, meat and seafood. Imperfect Foods has remained hyper focused on eliminating food waste and supporting farmers and producers when it comes to excess and imperfect products. The company now rescues and redistributes food across multiple grocery categories - including produce, shelf-stable goods, dairy, meat and seafood. Its performance and agility during the COVID-19 pandemic illustrates that this mission-driven model is poised for success in the long term. -"
Big Health,https://www.crunchbase.com/organization/big-health,"Fitness, Health Care, Medical, Wellness",Big Health operates a digital healthcare portal used to offer behavioral programs for mental health issues.,51-100,54300000,USD,54300000,2020-06-18,"San Francisco, California, United States",Big Health operates a digital healthcare portal used to offer fully-automated and highly personalized digital therapeutics and behavioral programs for mental health issues. Its portal offers an online personalized medicine-care and prepares a sleep improvement program in consultation with medical professionals that enable individuals to overcome their sleep-related disorders in an efficient manner.
Guild Education,https://www.crunchbase.com/organization/guild-education,"Career Planning, Education, Employee Benefits","Guild Education's lifelong learning platform offers classes, programs, and degrees for working adults.",251-500,228500000,USD,228500000,2019-11-13,"Denver, Colorado, United States","Guild Education's lifelong learning platform offers classes, programs and degrees for working adults, with a path for them to move forward in their education and career. Guild offers these adults support from start to finish, with their technology platform for discovery, learning, and organizing the experience, and extra support with their tech-enabled student advising model. Founded in 2015, the company is headquartered in Denver, Colorado, United States."
Sense,https://www.crunchbase.com/organization/sense,"Consumer Electronics, GreenTech, Hardware, Internet of Things, Smart Home, Software, Speech Recognition",Sense specializes in developing and distributing tracking devices and home automation solutions for its customers.,251-500,46999998,USD,46999998,2019-07-29,"Cambridge, Massachusetts, United States","Sense, a technology company, provides home energy monitoring solutions for its customers. The company specializes in developing and distributing tracking devices and home automation solutions for its customers. Sense, its home monitoring system, is able to listen to the electronic signatures of electrical devices through its current sensors on the main breakers in electrical panels and records them. Followed by the recording process, it applies multi-domain device signature detection algorithms to distinguish one appliance from another to recognize each individual voice. Furthermore, the system transmits its data to its users through a specially designed mobile application. Sense was founded by Ryan Houlette, Christopher Micali, and Mike Phillips in 2013 and is based in Cambridge, Massachusetts."
Heap,https://www.crunchbase.com/organization/heap,"Analytics, Business Development, Business Intelligence, Enterprise Software, Internet, Productivity Tools, Software, Technical Support",Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,101-250,95120000,USD,95120000,2019-07-23,"San Francisco, California, United States","Heap automates away the annoying parts of analytics so that companies can focus on making smarter business decisions. The company's mission is to power business decisions with truth. It encourages companies to focus on discovering insights and taking action. With Heap, organizations can remove technical jams and obtain a single comprehensive view of the customers. The software automatically gathers, organizes, analyzes, and connects customer data, so businesses can create more valuable products and experiences. Heap serves over 6,000 companies in ecommerce, SaaS, fintech, retail, media, and beyond including Twilio, LendingClub, App Annie, Optimizely, Morningstar, Monotype, and Casper.  Heap was founded on 2013 and is headquartered in San Francisco, California."
Coda,https://www.crunchbase.com/organization/coda-add7,"Apps, Collaboration, Document Management, Internet, Mobile Apps, Product Management, Productivity Tools, Software","Coda is a new document that brings words, data, and teams together.",51-100,60000000,USD,60000000,2015-10-01,"San Francisco, California, United States","Coda creates online documents and the utility of applications into a single new canvas. Coda blends the flexibility of a document, the power of a spreadsheet, and the utility of applications into a single new canvas, enabling anyone to make a doc as powerful as an app. Coda is something entirely new, that looks and feels familiar. Makers start with a blank canvas and a familiar blinking cursor, but can use a new set of building blocks like tables that act like databases, or buttons that take action to create their own unique solutions."
Taboola,https://www.crunchbase.com/organization/taboola,"Advertising, Content, Content Discovery, Video",Taboola is a content discovery platform that connects people with content they may like but never knew existed.,251-500,160000000,USD,160000000,2015-06-04,"New York, New York, United States","Taboola is a content discovery platform that connects people with content they may like but never knew existed. It is serving over 360 billion recommendations to over 1 billion unique visitors every month on some of the Web’s most innovative publisher sites, including USA TODAY, Business Insider, Chicago Tribune, and The Weather Channel. Headquartered in New York City with R&D in Israel, Taboola also has offices in Pasadena, London, and Bangkok. Publishers, marketers, and agencies leverage Taboola to retain users on their sites, monetize their traffic, and distribute their content to drive high-quality audiences."
Promise,https://www.crunchbase.com/organization/promise,"Communities, Law Enforcement","Promise provides a cost-effective, humane alternative to incarceration by improving long-term outcomes for individuals and communities.",1-10,3120000,USD,3120000,2018-03-19,"Oakland, California, United States","Promise provides a cost-effective, more humane alternative to incarceration by extending the capabilities of community supervision, improving long-term outcomes for individuals and communities. Promise is working on a solution to reduce the jail population. County governments pay Promise to work with arrestees who would otherwise be incarcerated because they couldn’t afford bail. Promise provides arrestees with tailored plans that include court-mandated conditions and connection to services such as drug treatment, housing, mental health treatment, job training, and others. The connections and support provided by Promise help participants achieve goals and reduce recidivism."
nCino,https://www.crunchbase.com/organization/ncino,"Banking, Document Management, Enterprise Software, Finance, Financial Services, FinTech",nCino is a cloud-based bank operating solution for the financial services industry.,101-250,213214400,USD,213214400,2019-10-02,"Wilmington, North Carolina, United States","NCino offers a cloud-based bank operating system created by bankers for bankers. The system helps increase profitability, productivity gains, regulatory compliance, and operational transparency at all organizational levels as well as across all lines of business.  Following a process structure similar to a bank’s loan accounting system, the bank operating system offers combined services through its business process management, loan lifecycle, business intelligence, and document management solutions."
Crisp,https://www.crunchbase.com/organization/crisp-cad3,"Food and Beverage, SaaS, Software",Crisp is an open data platform connecting thousands of companies across the food industry.,11-50,26000000,USD,26000000,2020-07-15,"New York, New York, United States","Crisp is a food supply forecast platform that supports information flows within and across companies in the food value chain. Its platform enables players in the industry to focus on their own specific tools and systems. Crisp brings together all data points including sales, inventory, retail portals, third party marketing data, promotions, weather, and holidays. It also helps its clients to drive value by pushing data to their existing systems from staffing to operations, making them all smarter. The company was founded in 2018 and is headquartered in Brooklyn, New York."
ActiveCampaign,https://www.crunchbase.com/organization/activecampaign,"Apps, CRM, Email, Email Marketing, Marketing Automation","ActiveCampaign is an advanced email marketing, marketing automation, and sales CRM platform.",501-1000,120000000,USD,120000000,2020-01-28,"Chicago, Illinois, United States","ActiveCampaign helps businesses grow by strengthening their relationship with customers utilizing a blend of automation and human touch. Companies are able to automate many behind the scenes processes and communicate with their customers across channels with personalized, intelligence-driven messages."
SolarisBank,https://www.crunchbase.com/organization/solarisbank-ag,"Banking, Financial Services, FinTech, Information Technology",SolarisBank offers a platform that enables digital companies to create custom solutions for their unique financial needs.,251-500,155100000,EUR,178623656,2020-06-30,"Berlin, Berlin, Germany","SolarisBank is a banking platform offering digital banking & cards services, financial and credit services, as well as payment and escrow services – all accessible via API. These services are used by nearly 60 corporate clients, such as credit portal smava, ABN AMRO’s brand Moneyou, comparison portal Verivox, banking service provider Kontist, and digital gift card company fashioncheque."
Medallia,https://www.crunchbase.com/organization/medallia,"Analytics, Customer Service, Enterprise Software, Loyalty Programs, SaaS, Software, Text Analytics",Medallia offers a SaaS platform that captures experience data from signal fields emitted by customers and employees.,1001-5000,325000000,USD,325000000,2019-02-28,"San Francisco, California, United States","Medallia helps companies win through customer and employee experience.	It offers a SaaS platform that captures experience data from signal fields emitted by customers and employees. The platform utilizes AI technology to analyze structured and unstructured data from these signal fields across human, digital, and internet of things, or IoT, interactions. Using Medallia Experience Cloud, customers can reduce churn, turn detractors into promoters and buyers, and create in-the-moment cross-sell and up-sell opportunities, providing clear and potent returns on investment. The company was founded in 2001 and is headquartered in San Francisco, California."
Connecterra,https://www.crunchbase.com/organization/connecterra-2,"Agriculture, AgTech, Artificial Intelligence",Connecterra is an agtech startup using AI to optimize the diary farming industry.,11-50,18288585,USD,18288585,2020-06-22,"Amsterdam, Noord-Holland, The Netherlands","Connecterra is a developer of software for the dairy industry. Connecterra is building an Artificial Intelligence that will grow food sustainably to feed future generations. Connecterra exists to give people a previously impossible understanding of the world around them so they can make more productive, humane and sustainable use of Earth’s natural resources. They use machine learning to turn raw data into insight-driven efficiencies for the benefit of people, companies, and the natural habitats in which they operate"
Flourish Software,https://www.crunchbase.com/organization/flourish-software,"AgTech, Cannabis, Enterprise Resource Planning (ERP), Software, Supply Chain Management",Flourish Software is a supply chain management “seed to sale tracking” platform built for cannabis and hemp.,11-50,2100000,USD,2100000,2019-08-06,"Atlanta, Georgia, United States","Flourish Software is a supply chain management “seed to sale tracking” platform built for cannabis and hemp. The platform is used by cannabis and hemp cultivators, manufacturers, processors, and retailers to track products from seed to sale, manage operations, and leverage advanced analytics. It is designed to manage the day to day operations better, gain valuable insights for cannabis operation, and helps make data-driven decisions. Bennett Adams, Colton Griffin, and Juan Carlos Garcia established the company in Atlanta, Georgia in 2017."
Sage Intacct,https://www.crunchbase.com/organization/sage-intacct,"Accounting, Cloud Computing, Enterprise Software, Finance, SaaS, Software",Sage Intacct is a financial management software.,251-500,215800000,USD,215800000,2016-05-04,"San Jose, California, United States","Sage Intacct is 100% invested in meeting the needs of financial professionals, 100% focused on customer success, and 100% committed to the cloud. That’s who they are, and always will be. Customers ranging from startups to public companies rely on Sage Intacct's best-in-class cloud ERP software to deliver the efficiencies and insights that keep them on the fast track of growth, from their first million to their first billion. What distinguishes Sage Intacct most is the company they keep—the employees, partners, and customers that come together to inspire continuous innovation and success. They are the only cloud accounting software company to be appointed a preferred provider by the AICPA and recognized by finance professionals as the highest rated solution for customer satisfaction. They have been ranked Top Workplace for 7 consecutive years and their leadership team includes award winners for Highest Rated CEO, CFO of the Year and CTO Executive of the Year. Headquartered in San Jose, they have a nationwide award-winning channel program and a U.S. based customer support team."
ForeScout Technologies,https://www.crunchbase.com/organization/forescout,"Cloud Security, Computer, Cyber Security, Internet of Things, Network Security, Software",ForeScout Technologies provides enterprises and government agencies with agentless visibility and control of devices.,501-1000,125381451,USD,125381451,2017-05-31,"San Jose, California, United States","ForeScout is transforming security through visibility.  We help make the invisible visible by providing Global 2000 enterprises and government agencies with agentless visibility and control of traditional and IoT devices the instant they connect to the network. Our technology integrates with disparate security tools to help organizations accelerate incident response, break down silos, automate workflows and optimize existing investments."
Foodpanda,https://www.crunchbase.com/organization/foodpanda,"Delivery, E-Commerce, Food Delivery, Marketplace",foodpanda is a online food delivery marketplace that enables users to place orders at local restaurants via its website or mobile app.,1001-5000,749450000,USD,749450000,2017-05-23,"Berlin, Berlin, Germany","Foodpanda is a global online food delivery marketplace that enables users to place orders at local restaurants via its website or mobile application. Customers enter their postcodes on the site, browse for food from a list of restaurants, and place the order; foodpanda processes the order details, sends out an SMS to customers to confirm orders and their estimated delivery time, and passes the details to partner restaurants; and the restaurants deliver the food to customers. It is called foodpanda in Asia and Europe and hellofood in Africa, Latin America, and the Middle East. Foodpanda has partnered with more than 60, 000 restaurants globally, including Pizza Hut, Subway, KFC, McDonalds, and Jollibee. Foodpanda was launched by Ralf Wenzel and Benjamin Bauer in 2012 and is operated from Berlin, Germany with presence in over 40 countries and 500 cities across 5 continents."
Tempus,https://www.crunchbase.com/organization/tempus-3,"Analytics, Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Machine Learning, Medical, Software",Tempus is a technology company advancing precision medicine through the practical application of artificial intelligence in healthcare.,501-1000,620000000,USD,620000000,2020-03-13,"Chicago, Illinois, United States","Tempus is a  technology-enabled precision medicine solutions company that has built an operating system to battle cancer. It is on a mission to redefine how genomic data is used in a clinical setting. Their goal is for each patient to benefit from the treatment of others who came before by enabling physicians to deliver personalized cancer care for patients through interactive analytical and machine learning platform. Eric Lefkofsky founded it in 2015 and is headquartered in Chicago, Illinois."
ABB,https://www.crunchbase.com/organization/abb,"Automotive, Chemical, Energy, Industrial Engineering, Oil and Gas, Robotics, Transportation","ABB is a company provides power and automation technologies for smart grids, robotics, electric cars, renewable energy and motors.",10001+,2700000,USD,2700000,2013-09-23,"Zürich, Zurich, Switzerland","ABB is engaged in power and automation technologies. The company provides a range of products, systems, solutions, and services. Its power businesses focus on power transmission, distribution, and power-plant automation and serve electric, gas and water utilities, as well as industrial and commercial customers. Its automation businesses serve a range of industries with measurement, control, protection, and process optimization applications. It operates in approximately 100 countries across four regions: Europe, the Americas, Asia, and the Middle East and Africa (MEA). During the year ended December 31, 2011, the business consisted of five divisions: Power Products, Power Systems, Discrete Automation and Motion, Low Voltage Products and Process Automation. On January 26, 2011, the company acquired Baldor Electric Company (Baldor). In May 2011, it purchased a controlling interest in United States-based Validus DC Systems."
Nium,https://www.crunchbase.com/organization/instarem,"Finance, Financial Services, FinTech",Nium is a fintech startup that provides digital international money transfer services to individuals and businesses.,101-250,59000000,USD,59000000,2020-05-06,"Singapore, Central Region, Singapore","Nium, formerly InstaReM is a fintech start-up providing fast, secure and cost-effective digital cross-border money transfer services to individuals and businesses. It has created a unique payment mesh in Asia, which is being leveraged by individuals and corporates. The company also offers a configurable, multi-featured platform MassPay that helps corporate and SME users to manage and control their high-volume remittances to multiple beneficiaries in multiple currencies via a seamless process, enabling them to reduce cross-border money transfer costs by up to 80%. The company is licensed in the EU, Australia, Canada, Hong Kong, Malaysia, India, and Singapore. It is backed by marquee investors such as Vertex Ventures, Fullerton Financial Holdings, Global Founders Capital, GSR Ventures, and SBI-FMO Ventures. Its services and business model has been recognized on prestigious platforms such as Singapore Fintech Festival and India Fintech Awards in 2017."
Sila Nanotechnologies,https://www.crunchbase.com/organization/sila-nanotechnologies,"Electronics, Manufacturing, Nanotechnology",Sila Nanotechnologies is a provider and manufacturer of revolutionary car batteries.,101-250,285000000,USD,285000000,2019-11-04,"Alameda, California, United States","Sila Nanotechnologies is an electronics company that offers new battery materials chemistry. It works directly with leading consumer electronics and automotive OEMs to help accelerate product roadmaps, and partners with battery manufacturers commercial cell production. The company was founded in 2011 and headquartered in California, United States."
Iterable,https://www.crunchbase.com/organization/iterable,"Email Marketing, Enterprise Software, Internet, Marketing Automation, Mobile",Iterable is the growth marketing platform that maximizes lifetime value by enabling you to create better experiences for your customers.,251-500,142200000,USD,142200000,2019-12-10,"San Francisco, California, United States","Iterable is the growth marketing platform that enables brands to create, execute and optimize cross-channel campaigns with unparalleled data flexibility. Leading brands, like Zillow, SeatGeek, and Box, choose Iterable to power world-class customer engagement throughout the entire lifecycle."
The Hut Group,https://www.crunchbase.com/organization/the-hut-group,"Beauty, E-Commerce, Fashion, Fast-Moving Consumer Goods, Retail","The Hut Group is an online retailing platform focused on fast moving consumer goods, specifically focused on health and beauty.",1001-5000,3927702579,USD,3927702579,2019-12-16,"Manchester, Manchester, United Kingdom","The Hut Group is an online retailing platform focused on fast moving consumer goods, specifically focused on health and beauty. Built on a foundation of industry-leading technology, a world-class team and a scientific approach to building global brands, The Hut Group are fast becoming the world’s most influential online retail organisation. A true Northern Powerhouse near Manchester, THG operates over 100 high-profit websites that sell premium, non-perishable FMCG direct to consumer to the fast growing, global Health and Beauty markets via the company's in-house technology and operating platform."
OPĀQ,https://www.crunchbase.com/organization/opaq-networks,"Computer, Information Technology, Internet, Messaging, Network Security, Security, Software",OPĀQ is a network security cloud company delivering Global Secure Access Service Edge service.,51-100,43500000,USD,43500000,2018-04-11,"Herndon, Virginia, United States","OPAQ is the premier networking and security cloud company. The OPAQ cloud platform provides a cloud-based secure access service edge (SASE) that protects an organization’s entire distributed network – data centers, branch offices, remote users, and IoT devices across all ports and protocols. OPAQ delivers zero trust security-as-a-service using an infrastructure optimized for security and hyperscale performance. With OPAQ, organizations can implement and enforce consistent zero trust security policies, centrally monitor network and security performance, generate reports, and manage security infrastructure – all through a single cloud console. This enables customers to maintain secure access to systems and data no matter how the network evolves. To learn more, visit www.opaq.com."
Cyberdyne,https://www.crunchbase.com/organization/cyberdyne,"Hardware, Software",CYBERDYNE Inc. is the development of robots and develops and sells the cyborg-type robot HAL.,51-100,4790400000,JPY,53969745,2014-03-26,"Ibaraki, Osaka, Japan","CYBERDYNE Inc. is a venture firm which is established by Dr. Yoshiyuki Sankai, University of Tsukuba, Japan, in order to materialize his idea to utilize Robot Suit HAL® for the benefits of humankind in the field of medicine, caregiving, welfare, labor, heavy works, entertainment and so on. Robot Suit HAL® was developed with the technologies created in Sankai Laboratory of Tsukuba University as an application of “Cybernics*” advocated by Prof. Sankai."
Grail,https://www.crunchbase.com/organization/grail,"Biotechnology, Health Care, Health Diagnostics, Life Science, Medical Device",Grail develops a pan-cancer screening test designed to detect cancer early.,251-500,2004655040,USD,2004655040,2020-05-06,"Menlo Park, California, United States","Grail develops a pan-cancer screening test designed to detect cancer early. Its pan-cancer screening test measures circulating nucleic acids in blood using high-intensity sequencing, population-scale clinical trials, enabling doctors to develop blood tests for early-stage cancer detection. The company was founded in 2015 and is based in Menlo Park, California."
Adagio Therapeutics,https://www.crunchbase.com/organization/adagio-therapeutics,"Biotechnology, Pharmaceutical, Therapeutics",Adagio Therapeutics is offers research and development of therapeutic pharmaceuticals.,1-10,50000000,USD,50000000,2020-07-16,"Waltham, Massachusetts, United States","Adagio Therapeutics is developing best-in-class antibodies that can broadly neutralize SARS-CoV-2, SARS-CoV-1, and additional potentially emergent coronaviruses. We believe our antibodies will match or exceed the potency and coverage of conventional SARS-CoV-2 antibody programs and can be used as both therapeutic and durable prophylactic treatments. Our candidates are engineered using best-in-industry antibody discovery capabilities and are designed to maximize potency and duration of effect. Our portfolio includes multiple, non-competing antibodies with distinct binding targets, enabling a strategy that can avoid viral escape."
Maven,https://www.crunchbase.com/organization/themaven-network-inc,"Advertising, Content, News, Publishing, Social, Social Media, Video","Maven operates as a single digital publishing, advertising, and distribution platform under a single media brand.",251-500,77625000,USD,77625000,2020-03-30,"Seattle, Washington, United States","Maven is a media coalition of professional content destinations. It operates on a shared digital publishing, advertising, and distribution platform, providing a major media scale alternative to news and information distributed on social platforms. The company was founded in 2016 and is headquartered in Seattle, Washington."
Medlife,https://www.crunchbase.com/organization/medlife-international-private-limited,"Information Technology, Retail",Medlife is India’s value-centric mobile app for online medicines order & home-delivery of medicines.,1001-5000,32698927,USD,32698927,2019-12-17,"Bangalore, Karnataka, India","Medlife is India’s value-centric company for requesting pick up of prescription so that home-delivery of medicines is made possible. The app is user-friendly and easy to use, through which you can get medicines delivered right to your doorstep & save while you do so.  3 simple steps to order from Medlife - you upload the prescription, we collect the original from your address & deliver the medicines at your doorstep. All this within a maximum span of 24 hours. They deliver in Ahmedabad, Bengaluru, Bhopal, Chennai, Delhi-NCR, Hyderabad, Jaipur, Kolkata, Mumbai & Varanasi."
Awake Security,https://www.crunchbase.com/organization/awake-security,"Cloud Security, Cyber Security, Network Security, Security","Awake Security is a provider of an NTA solution that's capable of detecting and visualizing behavioral, mal-intent and compliance incidents.",101-250,66000000,USD,66000000,2020-04-15,"Santa Clara, California, United States","Awake Security is the only advanced network traffic analysis company that delivers a privacy-aware solution capable of detecting and visualizing behavioral, mal-intent and compliance incidents with full forensics context. Powered by Ava, Awake’s security expert system, the Awake Security Platform combines federated machine learning, threat intelligence and human expertise. The platform analyzes billions of communications to autonomously discover, profile and classify every device, user and application on any network. Through automated hunting and investigation, Awake uncovers malicious intent from insiders and external attackers alike. The company is ranked #1 for time to value because of its frictionless approach that delivers answers rather than alerts."
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,"Biotechnology, Genetics, Health Care, Medical",10X Genomics provides an innovative genomics platform.,251-500,242600000,USD,242600000,2019-01-07,"Pleasanton, California, United States",10x Genomics is creating revolutionary DNA sequencing technology to help researchers better identify subtle variations that are overlooked by technologies that shred biological samples into tiny fragments before sequencing the short stretches and using computers to assembling them into a genome.
DefinedCrowd,https://www.crunchbase.com/organization/definedcrowd,"Artificial Intelligence, Data Center, Machine Learning, Natural Language Processing, Software",DefinedCrowd develops a crowd-as-a-service intelligent data platform intended to accelerate enterprise data training and modeling.,251-500,63600000,USD,63600000,2020-05-27,"Seattle, Washington, United States","DefinedCrowd develops a Crowd-as-a-Service intelligent data platform intended to accelerate enterprise data training and modeling. The company's platform combines machine learning and data science with crowd-sourcing to help companies to easily manage their global data collection and data enrichment efforts, enabling enterprises to improve quality, scalability and time-to-market for their artificial intelligence and natural language processing applications."
Axis Bank,https://www.crunchbase.com/organization/axis-bank,"Banking, Financial Services, Insurance, Wealth Management","Axis Bank is a banking institution offering commercial, corporate and retail banking, and treasury operations.",10001+,121660000000,INR,1932079106,2017-12-19,"Mumbai, Maharashtra, India","Axis Bank is the third largest private sector bank in India. Axis Bank is one of the first new generation private sector banks to have begun operations in 1994. The Bank was promoted in 1993, jointly by Specified Undertaking of Unit Trust of India (SUUTI) (then known as Unit Trust of India),Life Insurance Corporation of India (LIC), General Insurance Corporation of India (GIC), National Insurance Company Ltd., The New India Assurance Company Ltd., The Oriental Insurance Company Ltd. and United India Insurance Company Ltd. The shareholding of Unit Trust of India was subsequently transferred to SUUTI, an entity established in 2003. With a balance sheet size of Rs.2,85,628 crores as on 31st March 2012, Axis Bank is ranked 9th amongst all Indian scheduled banks. Axis Bank has achieved consistent growth and stable asset quality with a 5 year CAGR (2007-12) of 31% in Total Assets, 30% in Total Deposits, 36% in Total Advances and 45% in Net Profit."
Squad,https://www.crunchbase.com/organization/envested,"Information Technology, Mobile Apps, Professional Networking, Social, Software",Squad is a social tech platform to help people grow and strengthen their connections across all of their different communities.,11-50,3100000,USD,3100000,2018-09-15,"New York, New York, United States","Squad is a social tech platform to help people grow and strengthen their connections across all of their different communities. Squad’s mission and foundation has always been rooted in cultivating strong community. Starting out as a passion project, Squad was created to host unique intimate event experiences among young professionals. After launching in NYC, the community grew astronomically, garnering a high demand and an infectious buzz from cities around the world. With plans to expand globally, our analytics showed the average Squad member was under three pillars: the young Millennial or Gen-Z, the college-educated professional, and the seekers of a safe space to share experiences beyond social media. ‍ In 2019, in order to fuel expansion, Squad decided to build a big business concept based on these three pillars. They complemented the community experience with an innovative mobile app, expanding its reach beyond New York City. Today, we are proud to have an awesome community of entrepreneurs, doctors, lawyers, financiers, musicians, techies, creatives and other individuals who are such incredibly dope human beings."
ClearTax,https://www.crunchbase.com/organization/cleartax,"Accounting, Apps, Financial Services, FinTech",Simplifying Financial Lives for Indians. Cleartax is India's #1 Tax & Investing platform,251-500,65300000,USD,65300000,2018-10-23,"Bangalore, Karnataka, India","ClearTax is Built on top of India’s Massive Digitization of its Tax Systems. We are a Bangalore based Financial-Technology platform providing solutions for Income Tax filing, GST and Mutual Fund Investments. Founded by 3 friends, Archit Gupta, Srivatsan Chari, and Ankit Solanki, ClearTax became the first Y-Combinator funded company of India in 2014. As ClearTax took this journey, we have added mentors and Investors like Max Levchin, founder of Paypal, Vijay Shekhar Sharma of Paytm, Neeraj Arora of Whatsapp, Peter Thiel’s Founders Fund, Sequoia, Ryan Peterson of Flexport. SAIF Partners had invested $12Mn in ClearTax. Composite Capital has invested $50Mn in ClearTax."
GAN,https://www.crunchbase.com/organization/gameaccount-network,"Gambling, Gaming, Online Games, Software","GAN develops bespoke and off-the-shelf internet gaming systems that can be flash, mobile and native.",501-1000,31000000,GBP,47543712,2018-05-21,"London, England, United Kingdom","GAN is a business-to-business supplier of internet gambling software-as-a-service solutions predominantly to the US land-based casino industry. GAN has developed a proprietary internet gambling enterprise software system, GameSTACK™, which it licenses to land-based casino operators as a turnkey technology solution for regulated real-money internet gambling, encompassing internet gaming, internet sports gaming and virtual Simulated Gaming."
GumGum,https://www.crunchbase.com/organization/gumgum,"Advertising Platforms, Analytics, Artificial Intelligence, Brand Marketing, Computer Vision, Digital Media, Image Recognition, Machine Learning, Natural Language Processing, Sports",GumGum is an artificial intelligence company focusing on computer vision and natural language processing.,251-500,58825000,USD,58825000,2020-02-13,"Santa Monica, California, United States","GumGum is an artificial intelligence company focusing on computer vision and natural language processing. The company's mission is to unlock the value of images and videos produced everyday across the web, social media, and broadcast television. It teaches machines to solve hard problems across the media industry. The company serves contextual marketing in line with content users, helps marketers and right holders understand the media value of their sponsorship investments, and introduces the content safety analysis engine that finds what is relevant or what is dangerous. GumGum was founded in 2008 and is headquartered in Santa Monica, California."
Lanistar,https://www.crunchbase.com/organization/lanistar,"Banking, Financial Services, FinTech",Lanistar is a fintech company that provides customer-centric alternative to traditional banking.,11-50,17000000,GBP,21318854,2020-07-13,"London, England, United Kingdom","Lanistar will use polymorphic technology to provide a customer-centric alternative to the personal finance offerings provided by the incumbents in the sector. The company employs 45 full time staff, and has plans to grow a 150-person support team in Greece too. Lanistar also recently announced partnerships with organisations such as Mastercard and Jumio."
